date;category;artist;album;Best_Fav_New_OK;rec_send2TG;link;imga;send2TG;TGmsgID
2023-04-07;M;Fit for An Autopsy,Thy Art Is Murder,Malevolence;The Aggression Sessions - EP;;;https://music.apple.com/us/album/the-aggression-sessions-ep/1673977248;https://is3-ssl.mzstatic.com/image/thumb/Music126/v4/3f/07/d1/3f07d158-c5a9-646e-ee85-1553832a68e1/cover.jpg/296x296bb.webp;2023-04-14;
2023-04-07;M;Stillbirth;Homo Deus;;;https://music.apple.com/us/album/homo-deus/1673177507;https://is2-ssl.mzstatic.com/image/thumb/Music126/v4/01/c3/bb/01c3bb42-42f2-a64b-6210-44d9a5eceea1/cover.jpg/296x296bb.webp;2023-04-14;
2023-04-07;M;Devangelic;Xul;;;https://music.apple.com/us/album/xul/1659734807;https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/20/f2/86/20f28651-9f18-eb82-a29f-6446d9dfcb04/22UM1IM42244.rgb.jpg/296x296bb.webp;2023-04-14;
2023-04-07;M;Earth Caller;Renormalization - EP;;;https://music.apple.com/us/album/renormalization-ep/1678405914;https://is2-ssl.mzstatic.com/image/thumb/Music126/v4/23/24/6d/23246d9a-a54e-3738-010b-ae98e01ea31e/cover.jpg/296x296bb.webp;2023-04-14;
2023-04-07;M;Scowl;Psychic Dance Routine - EP;;;https://music.apple.com/us/album/psychic-dance-routine-ep/1678369221;https://is3-ssl.mzstatic.com/image/thumb/Music116/v4/56/38/a2/5638a21e-03ee-d71f-e03f-39126c552cc6/198015970781.jpg/296x296bb.webp;2023-04-14;
2023-04-07;M;Paul Gilbert;The Dio Album;;;https://music.apple.com/us/album/the-dio-album/1657366127;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/5b/15/6c/5b156ccd-7d7e-d81b-0601-80c9724e1b36/810020509830.png/296x296bb.webp;2023-04-14;
2023-04-07;M;Rise of the Northstar;Showdown;;;https://music.apple.com/us/album/showdown/1661173944;https://is2-ssl.mzstatic.com/image/thumb/Music113/v4/d4/66/17/d466179e-6c0e-3c6b-bc1d-8073b35ce2ef/5054197457791.jpg/296x296bb.webp;2023-04-14;
2023-04-07;M;Order;Void - Single;;;https://music.apple.com/us/album/void-single/1680961875;https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/1d/e9/ce/1de9cef9-d902-24b8-c9de-b28f05e873cc/197188535544.jpg/296x296bb.webp;2023-04-14;
2023-04-07;M;Lo!;The Gleaners;;;https://music.apple.com/us/album/the-gleaners/1639653507;https://is4-ssl.mzstatic.com/image/thumb/Music112/v4/07/14/00/071400d0-cfbd-5cd3-580b-82a209597eaf/196925257299.jpg/296x296bb.webp;2023-04-14;
2023-04-07;M;Heathen Foray;Oathbreaker;;;https://music.apple.com/us/album/oathbreaker/1668338950;https://is2-ssl.mzstatic.com/image/thumb/Music116/v4/86/5c/b0/865cb0ff-a8d1-a3da-42d4-76ca19940827/cover.jpg/296x296bb.webp;2023-04-14;
2023-04-07;M;Born Through Fire;Purify and Refine;;;https://music.apple.com/us/album/purify-and-refine/1667025144;https://is2-ssl.mzstatic.com/image/thumb/Music113/v4/59/1a/9d/591a9da6-48c7-1d41-8899-c1050a9b94af/197187973316.jpg/296x296bb.webp;2023-04-14;
2023-04-07;M;Cultura Tres;Camino De Brujos;;;https://music.apple.com/us/album/camino-de-brujos/1654259056;https://is2-ssl.mzstatic.com/image/thumb/Music122/v4/9b/e8/f0/9be8f00c-24cf-0919-b3fb-21d793457be0/22UM1IM30694.rgb.jpg/296x296bb.webp;2023-04-14;
2023-04-07;M;Sunrot;The Unfailing Rope;;;https://music.apple.com/us/album/the-unfailing-rope/1654603635;https://is5-ssl.mzstatic.com/image/thumb/Music122/v4/82/bd/bb/82bdbb23-e486-1f4d-449d-e82bb984fa3b/656191957427.jpg/296x296bb.webp;2023-04-14;
2023-04-07;M;Lurk;Aegis;;;https://music.apple.com/us/album/aegis/1667024725;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/2d/da/56/2dda5639-7428-6b81-f64f-eb28eea46ae0/612789663941.jpg/296x296bb.webp;2023-04-14;
2023-04-07;M;Metalocalpyse: Dethklok;The Dethalbum (Expanded Edition);;;https://music.apple.com/us/album/the-dethalbum-expanded-edition/1679480309;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/e2/5c/3c/e25c3cfb-bd9f-3a12-4b35-e8c52e34442f/794043215025.jpg/296x296bb.webp;2023-04-14;
2023-04-07;M;Dream Theater;Lost Not Forgotten Archives: The Making of Falling Into Infinity (1997);;;https://music.apple.com/us/album/lost-not-forgotten-archives-the-making-of-falling/1660129543;https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/78/59/71/78597191-443c-a6f4-a573-4f37a3a8223b/196589591593.jpg/296x296bb.webp;2023-04-14;
2023-04-07;M;Septicflesh;Reconstruction - Single;;;https://music.apple.com/us/album/reconstruction-single/1677063583;https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/c9/07/a1/c907a132-d88e-0753-0940-4f3a406897a5/cover.jpg/296x296bb.webp;2023-04-14;
2023-04-07;M;Messa;Live at Roadburn;;;https://music.apple.com/us/album/live-at-roadburn/1678137146;https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/c6/93/83/c69383db-563a-6e23-41ac-28e3fdde708d/197188300562.jpg/296x296bb.webp;2023-04-14;
2023-04-07;M;Countless Skies;Resonance (Live from the Studio) [feat. Arianna Mahsayeh];;;https://music.apple.com/us/album/resonance-live-from-the-studio-feat-arianna-mahsayeh/1668894667;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/61/fc/73/61fc73fe-2a2b-61ff-f82e-a7551db7a3ff/23UMGIM08103.rgb.jpg/296x296bb.webp;2023-04-14;
2023-04-07;M;Our Hollow, Our Home;Burn in the Flood (Deluxe);;;https://music.apple.com/us/album/burn-in-the-flood-deluxe/1648681883;https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/b9/8a/12/b98a1251-3f5b-a237-3631-41b092000bee/cover.jpg/296x296bb.webp;2023-04-14;
2023-04-07;HR;LINKIN PARK;Meteora 20th Anniversary Edition;;;https://music.apple.com/us/album/meteora-20th-anniversary-edition/1668484895;https://is3-ssl.mzstatic.com/image/thumb/Music126/v4/2f/8f/d9/2f8fd987-6abc-ff42-90c9-1e17fc8a934d/093624856634.jpg/296x296bb.webp;2023-04-14;
2023-04-07;HR;Savage Hands;Rock Bottom - EP;;;https://music.apple.com/us/album/rock-bottom-ep/1661783875;https://is5-ssl.mzstatic.com/image/thumb/Music123/v4/0a/b7/5c/0ab75c9d-a2df-e859-e53f-e4b045b72df0/cover.jpg/296x296bb.webp;2023-04-14;
2023-04-07;HR;Bonjour Tristesse;Against Leviathan;;;https://music.apple.com/us/album/against-leviathan/1668846078;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/58/12/9c/58129c9f-7010-64d3-9f57-22bf5401fdbf/cover.jpg/296x296bb.webp;2023-04-14;
2023-04-07;HR;Relent;World War Me - EP;;;https://music.apple.com/us/album/world-war-me-ep/1676345615;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/6a/2c/8e/6a2c8e78-4c35-fc86-048d-ba9a4fa0bd41/23SYMIM03128.rgb.jpg/296x296bb.webp;2023-04-14;
2023-04-07;HR;Mudhoney;Plastic Eternity;;;https://music.apple.com/us/album/plastic-eternity/1661340182;https://is5-ssl.mzstatic.com/image/thumb/Music126/v4/8c/5f/ce/8c5fce2e-49a1-b283-cfa3-f6ec7d4d7bbc/098787144567.png/296x296bb.webp;2023-04-14;
2023-04-07;HR;Silverstein;Misery Made Me (Deluxe);;;https://music.apple.com/us/album/misery-made-me-deluxe/1657094337;https://is3-ssl.mzstatic.com/image/thumb/Music122/v4/60/e2/45/60e24501-59f6-2800-95aa-230463249e26/197187482092.jpg/296x296bb.webp;2023-04-14;
2023-04-14;M;Metallica;72 Seasons;;;https://music.apple.com/us/album/72-seasons/1655432387;https://is3-ssl.mzstatic.com/image/thumb/Music126/v4/f7/50/56/f75056b7-d390-d215-51c5-3695dc6fe468/810083961095.png/296x296bb.webp;2023-04-14;
2023-04-14;M;Overkill;Scorched;;;https://music.apple.com/us/album/scorched/1660928740;https://is5-ssl.mzstatic.com/image/thumb/Music123/v4/bc/b7/6a/bcb76a60-6291-8129-6dfb-9dddf5123940/cover.jpg/296x296bb.webp;2023-04-14;
2023-04-14;M;Jesus Piece;...So Unknown;;;https://music.apple.com/us/album/so-unknown/1660126405;https://is5-ssl.mzstatic.com/image/thumb/Music122/v4/1f/0a/0b/1f0a0bb3-237c-cdb1-e5f2-108bda59d1d0/196589442451.jpg/296x296bb.webp;2023-04-14;
2023-04-14;M;Dødheimsgard;Black Medium Current;;;https://music.apple.com/us/album/black-medium-current/1671837644;https://is3-ssl.mzstatic.com/image/thumb/Music126/v4/58/3f/11/583f11d5-7e43-7f68-19b2-56cd6686f027/801056494962.jpg/296x296bb.webp;2023-04-14;
2023-04-14;M;Atreyu;The Hope of a Spark - EP;;;https://music.apple.com/us/album/the-hope-of-a-spark-ep/1674648153;https://is5-ssl.mzstatic.com/image/thumb/Music126/v4/70/73/08/707308d6-5c3b-d799-7881-728b66d89cf3/5401148000276_cover.jpg/296x296bb.webp;2023-04-14;
2023-04-14;M;The Hellfreaks;Pitch Black Sunset;;;https://music.apple.com/us/album/pitch-black-sunset/1658066236;https://is5-ssl.mzstatic.com/image/thumb/Music122/v4/f2/ba/be/f2babe6c-5e27-b37d-4f33-830a6278de25/840588173945.jpg/296x296bb.webp;2023-04-14;
2023-04-14;M;Holy Moses;Invisible Queen;;;https://music.apple.com/us/album/invisible-queen/1669639354;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/93/b5/98/93b598f1-1194-22f4-bf66-18b2e8e0c011/5054197469589.jpg/296x296bb.webp;2023-04-14;
2023-04-14;M;Magnus Karlsson's Free Fall;Hunt the Flame;;;https://music.apple.com/us/album/hunt-the-flame/1666377786;https://is5-ssl.mzstatic.com/image/thumb/Music113/v4/d7/58/2a/d7582aae-6582-99d0-212e-fec00c151c3d/197187864126.jpg/296x296bb.webp;2023-04-14;
2023-04-14;M;"Death &amp; Legacy";D4rk Prophecies;;;https://music.apple.com/us/album/d4rk-prophecies/1669543190;https://is3-ssl.mzstatic.com/image/thumb/Music126/v4/7a/eb/bd/7aebbd98-e3da-3d72-bbf5-8043643c2196/8445162833677.jpg/296x296bb.webp;2023-04-14;
2023-04-14;M;1782;Clamor Luciferi;;;https://music.apple.com/us/album/clamor-luciferi/1664895297;https://is2-ssl.mzstatic.com/image/thumb/Music123/v4/bd/68/a9/bd68a9f5-c60a-a76d-25bb-e9ccdcf5bfe0/cover.jpg/296x296bb.webp;2023-04-14;
2023-04-14;M;Voidceremony;Threads of Unknowing;;;https://music.apple.com/us/album/threads-of-unknowing/1671007648;https://is2-ssl.mzstatic.com/image/thumb/Music126/v4/a6/7f/16/a67f1626-2e81-ffaf-d851-622a53e70e21/810079501083.jpg/296x296bb.webp;2023-04-14;
2023-04-14;M;Archon Angel;II;;;https://music.apple.com/us/album/ii/1665050495;https://is2-ssl.mzstatic.com/image/thumb/Music123/v4/97/47/2d/97472d17-34da-8522-b753-652cf18e7500/197187846030.jpg/296x296bb.webp;2023-04-14;
2023-04-14;M;From Fall to Spring;Rise;;;https://music.apple.com/us/album/rise/1663480033;https://is2-ssl.mzstatic.com/image/thumb/Music113/v4/36/f9/66/36f96675-8192-b344-a162-38b31c241d99/cover.jpg/296x296bb.webp;2023-04-14;
2023-04-14;M;MMXX;The Next Wave - Single;;;https://music.apple.com/us/album/the-next-wave-single/1675067721;https://is2-ssl.mzstatic.com/image/thumb/Music116/v4/47/b2/65/47b265d8-9624-0ccb-9ea7-121c09c4e4b0/5401148000375_cover.jpg/296x296bb.webp;2023-04-14;
2023-04-14;M;Squid Pisser;My Tadpole Legion;;;https://music.apple.com/us/album/my-tadpole-legion/1670759120;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/db/db/34/dbdb34ce-0b8e-6911-10c3-477e62807f14/727785353052.jpg/296x296bb.webp;2023-04-14;
2023-04-14;M;Jason Bieler And The Baron Von Bielski Orchestra;Postcards from the Asylum;;;https://music.apple.com/us/album/postcards-from-the-asylum/1677318830;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/0d/dd/44/0ddd44d7-fadd-279d-e027-cb1cd857e939/859769120999_cover.jpg/296x296bb.webp;2023-04-14;
2023-04-14;M;Veiled;The Black Rite - EP;;;https://music.apple.com/us/album/the-black-rite-ep/1676401690;https://is4-ssl.mzstatic.com/image/thumb/Music116/v4/b5/80/db/b580db0f-a2fd-480f-b151-29025114560f/197188098247.jpg/296x296bb.webp;2023-04-14;
2023-04-14;M;Infected Rain;The Devil's Dozen (Live);;;https://music.apple.com/us/album/the-devils-dozen-live/1662933539;https://is3-ssl.mzstatic.com/image/thumb/Music113/v4/01/b9/d2/01b9d226-5be7-ac3a-f026-749ddf70085f/840588177479.jpg/296x296bb.webp;2023-04-14;
2023-04-14;HR;L.A. Guns;Black Diamonds;;;https://music.apple.com/us/album/black-diamonds/1664961598;https://is4-ssl.mzstatic.com/image/thumb/Music123/v4/b6/26/6f/b6266fbc-bcad-bbc2-0c73-5f703c837115/197187864089.jpg/296x296bb.webp;2023-04-14;
2023-04-14;HR;Mike Tramp;Songs Of White Lion;;;https://music.apple.com/us/album/songs-of-white-lion/1666083887;https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/59/3b/13/593b135c-3fd4-a557-57f8-80a8da1dab36/197187913299.jpg/296x296bb.webp;2023-04-14;
2023-04-14;HR;Andreas Kümmert;Working Class Hero;;;https://music.apple.com/us/album/working-class-hero/1671148047;https://is2-ssl.mzstatic.com/image/thumb/Music116/v4/27/63/52/27635281-a28f-4387-7452-2946b0b2f3a4/cover.jpg/296x296bb.webp;2023-04-14;
2023-04-14;HR;Kid Koala;Creatures of the Late Afternoon;;;https://music.apple.com/us/album/creatures-of-the-late-afternoon/1643791357;https://is3-ssl.mzstatic.com/image/thumb/Music112/v4/b9/07/ea/b907eaa8-74d5-d467-cec9-c895201aa99c/cover.jpg/296x296bb.webp;2023-04-14;
2023-04-14;HR;Magnolia Park;Baku's Revenge (Deluxe Edition);;;https://music.apple.com/us/album/bakus-revenge-deluxe-edition/1673088360;https://is2-ssl.mzstatic.com/image/thumb/Music126/v4/3f/ae/37/3fae3787-42d5-ebe1-4be5-e5062bb24f19/0045778799329.png/296x296bb.webp;2023-04-14;
2023-04-14;HR;Miesha and the Spanks;Unconditional Love In Hi-Fi;;;https://music.apple.com/us/album/unconditional-love-in-hi-fi/1663784868;https://is4-ssl.mzstatic.com/image/thumb/Music113/v4/da/b3/18/dab318bb-5721-5d15-7d47-5f21fd0ecedb/MRD200.jpg/296x296bb.webp;2023-04-14;
2023-04-14;HR;Derek Sanders;The Heavy Box - EP;;;https://music.apple.com/us/album/the-heavy-box-ep/1674018822;https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/13/4a/12/134a12c4-732d-a3fa-a826-0b6551a6489b/4050538907636.jpg/296x296bb.webp;2023-04-14;
2023-04-14;HR;The Infinity Ring;"Nemesis &amp; Nativity";;;https://music.apple.com/us/album/nemesis-nativity/1667558628;https://is4-ssl.mzstatic.com/image/thumb/Music113/v4/0a/ad/d1/0aadd1e2-c72e-c237-19a5-a3c9043aee9c/843563156858.jpg/296x296bb.webp;2023-04-14;
2023-04-14;HR;Poison Ruïn;Härvest;;;https://music.apple.com/us/album/h%C3%A4rvest/1664558143;https://is3-ssl.mzstatic.com/image/thumb/Music123/v4/eb/1d/d5/eb1dd59c-2cde-9966-1bd0-40b63734462e/781676493616.jpg/296x296bb.webp;2023-04-14;
2023-04-21;M;Texas Hippie Coalition;The Name Lives On;;;https://music.apple.com/us/album/the-name-lives-on/1675445690;https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/4f/09/0a/4f090a26-9101-d418-43d6-cd4be2f234ff/634164315627.png/296x296bb.webp;2023-04-21;
2023-04-21;M;Brand of Sacrifice;Between Death and Dreams - EP;;;https://music.apple.com/us/album/between-death-and-dreams-ep/1680178567;https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/61/e9/b0/61e9b04a-e6b5-f9e8-e527-4e13b74536d7/cover.jpg/296x296bb.webp;2023-04-21;
2023-04-21;M;Bell Witch;Future's Shadow Part 1: The Clandestine Gate;;;https://music.apple.com/us/album/futures-shadow-part-1-the-clandestine-gate/1679823559;https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/13/40/f1/1340f1d7-6415-2fa6-0440-6f610ad30b49/843563162859.jpg/296x296bb.webp;2023-04-21;
2023-04-21;M;ten56.;Downer;;;https://music.apple.com/us/album/downer/1678218968;https://is2-ssl.mzstatic.com/image/thumb/Music116/v4/a2/a7/4c/a2a74c16-5586-6acb-7e73-157588de0714/cover.jpg/296x296bb.webp;2023-04-21;
2023-04-21;M;Grave Pleasures;Plagueboys;;;https://music.apple.com/us/album/plagueboys/1660125099;https://is3-ssl.mzstatic.com/image/thumb/Music112/v4/32/66/9a/32669adb-2f61-dcc9-1ab1-876e3aa5be5d/196589633286.jpg/296x296bb.webp;2023-04-21;
2023-04-21;M;As Everything Unfolds;Ultraviolet;;;https://music.apple.com/us/album/ultraviolet/1654510810;https://is2-ssl.mzstatic.com/image/thumb/Music112/v4/d5/38/69/d538697d-aa3a-6554-d87c-f57241174084/4001617099261.jpg/296x296bb.webp;2023-04-21;
2023-04-21;M;Tanith;Voyage;;;https://music.apple.com/us/album/voyage/1671913686;https://is2-ssl.mzstatic.com/image/thumb/Music116/v4/96/fa/16/96fa165b-d1a4-8bf3-f3f4-48886470750f/Tanith_-_Voyage.jpg/296x296bb.webp;2023-04-21;
2023-04-21;M;Saint Deamon;League of the Serpent;;;https://music.apple.com/us/album/league-of-the-serpent/1664454848;https://is3-ssl.mzstatic.com/image/thumb/Music113/v4/5b/d4/cd/5bd4cd73-e6b7-933e-0d48-24b25c65e056/cover.jpg/296x296bb.webp;2023-04-21;
2023-04-21;M;Dawn of Ouroboros;Velvet Incandescence;;;https://music.apple.com/us/album/velvet-incandescence/1646155914;https://is3-ssl.mzstatic.com/image/thumb/Music122/v4/9b/72/71/9b7271fc-324c-542f-1a08-cab7b7039b6f/656191958127.jpg/296x296bb.webp;2023-04-21;
2023-04-21;M;The Dark;Hex Kult - EP;;;https://music.apple.com/us/album/hex-kult-ep/1670756478;https://is3-ssl.mzstatic.com/image/thumb/Music126/v4/1f/74/6a/1f746a07-70bf-471f-9127-bcae0b4936e2/cover.jpg/296x296bb.webp;2023-04-21;
2023-04-21;M;ANGUS McSIX;Angus Mcsix and the Sword of Power;;;https://music.apple.com/us/album/angus-mcsix-and-the-sword-of-power/1659489557;https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/4d/dd/36/4ddd3693-bd38-c6a2-551e-658a0d70aa54/840588175932.jpg/296x296bb.webp;2023-04-21;
2023-04-21;M;Atavistia;Cosmic Warfare;;;https://music.apple.com/us/album/cosmic-warfare/1663939554;https://is3-ssl.mzstatic.com/image/thumb/Music123/v4/62/7d/de/627dde5d-b069-b080-a243-b9bced6690ec/cover.jpg/296x296bb.webp;2023-04-21;
2023-04-21;M;Mezzrow;Summon Thy Demons;;;https://music.apple.com/us/album/summon-thy-demons/1668861974;https://is3-ssl.mzstatic.com/image/thumb/Music126/v4/dd/f6/dd/ddf6dd06-fe0a-77eb-61f0-58bc62a58437/5054197465451.jpg/296x296bb.webp;2023-04-21;
2023-04-21;M;Predatory Void;Seven Keys to the Discomfort of Being;;;https://music.apple.com/us/album/seven-keys-to-the-discomfort-of-being/1668223189;https://is4-ssl.mzstatic.com/image/thumb/Music116/v4/a6/cf/5e/a6cf5e89-aa7b-1f69-90ba-4846316c1580/196589735232.jpg/296x296bb.webp;2023-04-21;
2023-04-21;M;Mélancolia;HissThroughRottenTeeth;;;https://music.apple.com/us/album/hissthroughrottenteeth/1672981652;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/37/4a/79/374a79c4-5994-5b67-9ea6-7130c387397f/cover.jpg/296x296bb.webp;2023-04-21;
2023-04-21;M;The Sword;Gods of the Earth (15th Anniversary Edition);;;https://music.apple.com/us/album/gods-of-the-earth-15th-anniversary-edition/1673126634;https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/a2/96/25/a29625c5-ad8e-4e2d-685a-5d9a210696d9/184923007268.png/296x296bb.webp;2023-04-21;
2023-04-21;M;Year of No Light;Live At Roadburn, 2008;;;https://music.apple.com/us/album/live-at-roadburn-2008/1679812299;https://is3-ssl.mzstatic.com/image/thumb/Music116/v4/b1/e5/2d/b1e52d1e-7d89-c6fc-4574-b86d68c6647c/197188019389.jpg/296x296bb.webp;2023-04-21;
2023-04-21;M;Smackbound;Hostage;;;https://music.apple.com/us/album/hostage/1666921546;https://is2-ssl.mzstatic.com/image/thumb/Music123/v4/5e/0c/a6/5e0ca698-c8ea-3063-b252-453f7bc35e92/197187936113.jpg/296x296bb.webp;2023-04-21;
2023-04-21;M;Anthem;"Crimson &amp; Jet Black";;;https://music.apple.com/us/album/crimson-jet-black/1665234928;https://is3-ssl.mzstatic.com/image/thumb/Music113/v4/7f/54/33/7f543358-c715-403c-e667-f48031eb0270/5054197469749.jpg/296x296bb.webp;2023-04-21;
