update__date;album_cover__jpeg;album__href;album__name;artist__href;artist__name;release__date;release__date_text
2024-02-09;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/d9/99/2b/d9992bab-710a-5c5b-a458-d97ff8dfb14e/197190596892.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/nocturnal-will/1719867942;Nocturnal Will;https://music.apple.com/us/artist/d%C3%B6dsrit/1296977607;Dödsrit;2024-03-22 00:00:00;March 22, 2024
2024-02-09;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/52/9b/83/529b83bd-baa5-981c-ea0b-a241dd0a98dd/810137301303.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/k%C3%B6nig-und-kaiser/1718556240;König und Kaiser;https://music.apple.com/us/artist/hammer-king/925177434;Hammer King;2024-03-22 00:00:00;March 22, 2024
2024-02-09;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/1f/dd/20/1fdd2010-79da-6a0f-d512-a5e2d15989e8/801056411365.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/coffin-storm/1725487444;Coffin Storm;https://music.apple.com/us/artist/coffin-storm/1725487454;Coffin Storm;2024-03-29 00:00:00;March 29, 2024
2024-02-09;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/f4/31/e5/f431e5d1-481b-44c5-47e3-734f7045949c/197190962314.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/lifeless-birth/1727011323;Lifeless Birth;https://music.apple.com/us/artist/necrot/1083788889;Necrot;2024-04-12 00:00:00;April 12, 2024
2024-02-09;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/73/a5/30/73a530a1-3ab9-6f6d-455f-db455c925459/822603001662.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/ekbom/1724477295;Ekbom;https://music.apple.com/us/artist/benighted/267088245;Benighted;2024-04-12 00:00:00;April 12, 2024
2024-02-09;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/c5/13/73/c5137348-1ef9-e8a3-53c9-b23c757d4236/0045778801060.png/296x296bf-60.jpg;https://music.apple.com/us/album/searching-for-solace/1725808523;Searching for Solace;https://music.apple.com/us/artist/the-ghost-inside/276963639;The Ghost Inside;2024-04-19 00:00:00;April 19, 2024
2024-02-09;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/cc/76/5d/cc765d22-b228-5ba0-a3b0-7b444fde7200/197190536409.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/tarantula-heart/1721293269;Tarantula Heart;https://music.apple.com/us/artist/melvins/737433;Melvins;2024-04-19 00:00:00;April 19, 2024
2024-02-09;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/75/12/81/7512815a-607e-01ca-b7ba-df49fe67cb02/822603000306.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/lunatic-choir/1726068662;Lunatic Choir;https://music.apple.com/us/artist/night-shall-drape-us/1726068673;Night Shall Drape Us;2024-04-26 00:00:00;April 26, 2024
2024-02-09;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/0b/4b/a9/0b4ba985-b825-f6c1-45b6-5fdfc256ada5/197190919240.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/from-hell-i-rise/1727003994;From Hell I Rise;https://music.apple.com/us/artist/kerry-king/28181124;Kerry King;2024-05-17 00:00:00;May 17, 2024
2024-02-09;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/7b/80/58/7b805802-619f-ea7c-99bd-5858c41033ae/5054197808678.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/let-the-fury-rise/1726009152;Let the Fury Rise;https://music.apple.com/us/artist/bloodorn/1615790771;Bloodorn;2024-05-24 00:00:00;May 24, 2024
