mp3tagArtist;mp3tagGenre;mainArtist;mainId;downloaded
Artillery;Thrash Metal;Artillery;61440649;2026-02-06 09:08:41
As Blood Runs Black;Deathcore;As Blood Runs Black;156713594;2026-02-06 09:08:45
As I Lay Dying;Metalcore;As I Lay Dying;54266496;2026-02-06 09:08:50
Ascension of the Watchers;Progressive Rock;Ascension of the Watchers;274296748;2026-02-06 09:08:54
Ashen;Alternative;Ashen;1547541596;2026-02-06 09:08:58
Asking Alexandria;Metalcore;Asking Alexandria;329938300;2026-02-06 09:09:04
Assemble Head in Sunburst Sound;Progressive Rock;Assemble Head in Sunburst Sound;285623085;2026-02-06 09:09:08
Assemble the Chariots;Symphonic Metal;Assemble the Chariots;589410635;2026-02-06 09:09:12
At the Gates;Melodic Death Metal;At the Gates;57658038;2026-02-06 09:09:17
Atreyu;Metalcore;Atreyu;6095061;2026-02-06 09:09:22
Attila;Deathcore;Attila;46893195;2026-02-06 09:09:27
Ava Max;Pop;Ava Max;1265164818;2026-02-06 09:09:32
Avatarium;Doom Metal;Avatarium;1451199469;2026-02-06 09:09:37
Avenged Sevenfold;Heavy Metal;Avenged Sevenfold;6766228;2026-02-06 09:09:42
Avicii;EDM;;0;
Avril Lavigne;Alternative;Avril Lavigne;459885;2026-02-06 09:09:47
Baauer;EDM;Baauer;526199085;2026-02-06 09:09:52
Baby D;Hip-Hop;;0;
Babymetal;Metal;Babymetal;477101776;2026-02-06 09:09:57
Bad Wolves;Alternative;Bad Wolves;1005229146;2026-02-06 09:10:01
Battle Beast;Heavy Metal;Battle Beast;412807070;2026-02-06 09:10:06
Beartooth;Metalcore;Beartooth;590762561;2026-02-06 09:10:10
Bebe Rexha;Pop;Bebe Rexha;466059563;2026-02-06 09:10:16
Becoming the Archetype;Melodic Death Metal;Becoming the Archetype;78682379;2026-02-06 09:10:20
Behemoth;Death Metal;Behemoth;42255142;2026-02-06 09:10:24
Beneath the Massacre;Technical Death Metal;Beneath the Massacre;214355791;2026-02-06 09:10:29
Beseech;Gothic Metal;Beseech;54671918;2026-02-06 09:10:33
Between the Buried and Me;Progressive Metal;Between the Buried and Me;107404782;2026-02-06 09:10:38
Beyonce;R&B;Beyonce;1419227;2026-02-06 09:10:44
Beyond Creation;Technical Death Metal;Beyond Creation;431171265;2026-02-06 09:10:49
Beyond the Black;Symphonic Metal;Beyond the Black;955346353;2026-02-06 09:10:53
Billie Eilish;Pop;Billie Eilish;1065981054;2026-02-06 09:10:58
Billy Morrison;Hard Rock;Billy Morrison;258778118;2026-02-06 09:11:03
Bilmuri;Alternative;Bilmuri;1072442999;2026-02-06 09:11:07
Black Crown Initiate;Progressive Metal;Black Crown Initiate;725708648;2026-02-06 09:11:11
Black Earth;Melodic Death Metal;;0;
Black Eyed Peas;Hip-Hop;Black Eyed Peas;360391;2026-02-06 09:11:16
Black Sabbath;Heavy Metal;Black Sabbath;165907;2026-02-06 09:11:21
Black Spiders;Hard Rock;Black Spiders;295232409;2026-02-06 09:11:26
Black Stone Cherry;Hard Rock;Black Stone Cherry;155784503;2026-02-06 09:11:30
Black Veil Brides;Hard Rock;Black Veil Brides;276789923;2026-02-06 09:11:35
Blackbraid;Black Metal;Blackbraid;1621762105;2026-02-06 09:11:40
Blackbriar;Symphonic Metal;Blackbriar;1226343661;2026-02-06 09:11:44
Blackgold;Nu Metal;Blackgold;1599759791;2026-02-06 09:11:49
Blackmore's Night;Rock;Blackmore's Night;15133784;2026-02-06 09:11:54
Bleed the Sky;Metalcore;Bleed the Sky;64942384;2026-02-06 09:11:58
Blind Guardian;Power Metal;Blind Guardian;14549348;2026-02-06 09:12:03
Blindside;Alternative;Blindside;149376;2026-02-06 09:12:07
Blink-182;Punk Rock;Blink-182;116851;2026-02-06 09:12:12
Bloodbath;Death Metal;Bloodbath;64873162;2026-02-06 09:12:17
Bloodhound Gang;Alternative;Bloodhound Gang;861350;2026-02-06 09:12:21
Bloodred Hourglass;Melodic Death Metal;Bloodred Hourglass;550334387;2026-02-06 09:12:25
